Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
White-eyes and Yuhinas,Zosterops explorator,Fiji White-eye,Unknown,not applicable,Decreasing,not applicable
Woodswallows and Butcherbirds,Artamus mentalis,Fiji Woodswallow,Unknown,not applicable,Decreasing,estimated
Woodpeckers,Campethera taeniolaema,Fine-banded Woodpecker,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus subtilis,Fine-barred Piculet,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Campethera punctuligera,Fine-spotted Woodpecker,Unknown,not applicable,Stable,suspected
Weavers,Ploceus megarhynchus,Finn's Weaver,250-999,estimated,Decreasing,inferred
Bulbuls,Iole finschii,Finsch's Bulbul,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Chenonetta finschi,Finsch's Duck,Unknown,,,not applicable
Finches,Euphonia finschi,Finsch's Euphonia,Unknown,not applicable,Stable,suspected
Thrushes,Stizorhina finschi,Finsch's Flycatcher-thrush,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Scleroptila finschi,Finsch's Francolin,Unknown,not applicable,Decreasing,not applicable
"Pigeons, Doves",Ducula finschii,Finsch's Imperial-pigeon,10000-19999,suspected,Decreasing,estimated
Old World Flycatchers and Chats,Oenanthe finschii,Finsch's Wheatear,816000-2470000,estimated,Unknown,suspected
Penguins,Eudyptes pachyrhynchus,Fiordland Penguin,12500-50000,estimated,Decreasing,suspected
Tanagers,Anisognathus igniventris,Fire-bellied Mountain-tanager,Unknown,not applicable,Stable,suspected
Woodpeckers,Dendropicos pyrrhogaster,Fire-bellied Woodpecker,Unknown,not applicable,Increasing,suspected
Flowerpeckers,Dicaeum ignipectus,Fire-breasted Flowerpecker,Unknown,not applicable,Decreasing,suspected
Tits and chickadees,Cephalopyrus flammiceps,Fire-capped Tit,Unknown,not applicable,Decreasing,not applicable
Old World Flycatchers and Chats,Alethe castanea,Fire-crested Alethe,Unknown,,Decreasing,suspected
Tyrant-flycatchers,Xolmis pyrope,Fire-eyed Diucon,Unknown,not applicable,Stable,suspected
Weavers,Euplectes diadematus,Fire-fronted Bishop,Unknown,not applicable,Stable,suspected
Bowerbirds,Sericulus bakeri,Fire-maned Bowerbird,2500-9999,estimated,Stable,suspected
Parrotbills and allies,Myzornis pyrrhoura,Fire-tailed Myzornis,Unknown,not applicable,Unknown,not applicable
Sunbirds,Aethopyga ignicauda,Fire-tailed Sunbird,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Calliope pectardens,Firethroat,10000-19999,suspected,Decreasing,suspected
Flowerpeckers,Dicaeum luzoniense,Fire-throated Flowerpecker,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Metallura eupogon,Fire-throated Metaltail,Unknown,not applicable,Decreasing,suspected
Asian Barbets,Psilopogon pyrolophus,Fire-tufted Barbet,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Anumbius annumbi,Firewood-gatherer,Unknown,not applicable,Increasing,suspected
Old World Flycatchers and Chats,Sigelus silens,Fiscal Flycatcher,Unknown,not applicable,Stable,suspected
Bulbuls,Phyllastrephus fischeri,Fischer's Greenbul,Unknown,not applicable,Decreasing,estimated
Parrots,Agapornis fischeri,Fischer's Lovebird,Unknown,estimated,Decreasing,inferred
Larks,Eremopterix leucopareia,Fischer's Sparrow-lark,Unknown,not applicable,Unknown,not applicable
Starlings,Lamprotornis fischeri,Fischer's Starling,Unknown,not applicable,Stable,suspected
Turacos,Tauraco fischeri,Fischer's Turaco,1500-7000,suspected,Decreasing,suspected
Crows and jays,Corvus ossifragus,Fish Crow,Unknown,estimated,Increasing,estimated
New World Barbets,Capito quinticolor,Five-colored Barbet,6000-10000,estimated,Decreasing,suspected
Waxbills,Lonchura quinticolor,Five-coloured Munia,Unknown,not applicable,Stable,suspected
New World sparrows,Amphispiza quinquestriata,Five-striped Sparrow,200000,estimated,Decreasing,suspected
Bowerbirds,Sericulus ardens,Flame Bowerbird,Unknown,not applicable,Decreasing,suspected
Australasian robins,Petroica phoenicea,Flame Robin,"1200000-9600000, 8700000",estimated,Decreasing,suspected
"Pigeons, Doves",Ramphiculus marchei,Flame-breasted Fruit-dove,2500-9999,estimated,Decreasing,suspected
Sunbirds,Cinnyris solaris,Flame-breasted Sunbird,Unknown,not applicable,Stable,suspected
Cardinals,Piranga bidentata,Flame-colored Tanager,50000-499999,estimated,Decreasing,suspected
Kinglets and firecrests,Regulus goodfellowi,Flamecrest,Unknown,not applicable,Decreasing,suspected
Manakins,Heterocercus linteatus,Flame-crested Manakin,Unknown,not applicable,Decreasing,suspected
Tanagers,Islerothraupis cristata,Flame-crested Tanager,Unknown,not applicable,Stable,suspected
Flowerpeckers,Dicaeum kampalili,Flame-crowned Flowerpecker,10000-19999,suspected,Decreasing,suspected
Honeyeaters,Lichmera flavicans,Flame-eared Honeyeater,Unknown,not applicable,Stable,suspected
Tanagers,Tangara parzudakii,Flame-faced Tanager,Unknown,not applicable,Decreasing,suspected
Asian Barbets,Psilopogon armillaris,Flame-fronted Barbet,Unknown,not applicable,Decreasing,suspected
Tanagers,Ramphocelus flammigerus,Flame-rumped Tanager,Unknown,not applicable,Increasing,suspected
White-eyes and Yuhinas,Dasycrotapha speciosa,Flame-templed Babbler,2500-9999,estimated,Decreasing,suspected
New World Barbets,Eubucco aurantiicollis,Flame-throated Barbet,Unknown,not applicable,Decreasing,suspected
Bulbuls,Rubigula gularis,Flame-throated Bulbul,Unknown,not applicable,Decreasing,suspected
New World warblers,Oreothlypis gutturalis,Flame-throated Warbler,20000-49999,estimated,Stable,suspected
Sunbirds,Aethopyga flagrans,Flaming Sunbird,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Hemitriccus flammulatus,Flammulated Bamboo-tyrant,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Deltarhynchus flammulatus,Flammulated Flycatcher,20000-49999,suspected,Decreasing,suspected
Typical Owls,Psiloscops flammeolus,Flammulated Owl,Unknown,estimated,Decreasing,suspected
Ovenbirds,Thripadectes flammulatus,Flammulated Treehunter,Unknown,not applicable,Decreasing,suspected
Larks,Mirafra rufocinnamomea,Flappet Lark,Unknown,estimated,Decreasing,suspected
Kingfishers,Todiramphus recurvirostris,Flat-billed Kingfisher,Unknown,not applicable,Unknown,not applicable
Vireos,Vireo nanus,Flat-billed Vireo,Unknown,not applicable,Unknown,not applicable
Bulbuls,Pycnonotus flavescens,Flavescent Bulbul,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Myiophobus flavicans,Flavescent Flycatcher,Unknown,not applicable,Decreasing,suspected
New World warblers,Myiothlypis flaveola,Flavescent Warbler,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Ardenna carneipes,Flesh-footed Shearwater,148000,estimated,Decreasing,suspected
Cormorants,Nannopterum harrisi,Flightless Cormorant,Unknown,estimated,Stable,estimated
"Pigeons, Doves",Phaps histrionica,Flock Bronzewing,Unknown,not applicable,Decreasing,suspected
Thrushes,Turdus debilis,Floodplain Thrush,Unknown,not applicable,Stable,suspected
Mockingbirds and thrashers,Mimus trifasciatus,Floreana Mockingbird,250-999,estimated,Stable,estimated
Crows and jays,Corvus florensis,Flores Crow,Unknown,,Decreasing,suspected
Flowerpeckers,Dicaeum rhodopygiale,Flores Flowerpecker,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Treron floris,Flores Green-pigeon,2500-9999,estimated,Decreasing,inferred
Parrots,Loriculus flosculus,Flores Hanging-parrot,2500-9999,estimated,Decreasing,suspected
"Hawks, Eagles",Nisaetus floris,Flores Hawk-eagle,320-1500,estimated,Decreasing,inferred
Parrots,Trichoglossus weberi,Flores Lorikeet,10000-19999,estimated,Decreasing,suspected
Cuckooshrikes,Pericrocotus lansbergei,Flores Minivet,Unknown,not applicable,Decreasing,suspected
Monarch-flycatchers,Symposiachrus sacerdotum,Flores Monarch,2500-9999,estimated,Decreasing,suspected
Typical Owls,Otus alfredi,Flores Scops-owl,250-2499,estimated,Decreasing,suspected
"Pigeons, Doves",Macropygia macassariensis,Flores Sea Cuckoo-Dove,Unknown,,Stable,suspected
Old World Flycatchers and Chats,Brachypteryx floris,Flores Shortwing,Unknown,not applicable,Stable,not applicable
Crows and jays,Aphelocoma coerulescens,Florida Scrub-jay,2500-9999,estimated,Decreasing,estimated
Scimitar-babblers and allies,Macronus ptilosus,Fluffy-backed Tit-babbler,Unknown,not applicable,Decreasing,inferred
Wrens,Microcerculus ustulatus,Flutist Wren,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Puffinus gavia,Fluttering Shearwater,Unknown,estimated,Decreasing,suspected
Grasshopper-warblers and grassbirds,Poodytes albolimbatus,Fly River Grassbird,1500-7000,estimated,Decreasing,suspected
"Ducks, Geese, Swans",Tachyeres patachonicus,Flying Steamerduck,7300-18000,estimated,Decreasing,suspected
Honeyeaters,Melipotes carolae,Foja Honeyeater,Unknown,not applicable,Stable,not applicable
Tyrant-flycatchers,Myiopagis olallai,Foothill Elaenia,Unknown,not applicable,Decreasing,suspected
Tityras and allies,Schiffornis aenea,Foothill Mourner,Unknown,,Decreasing,suspected
Typical Antbirds,Epinecrophylla spodionota,Foothill Stipplethroat,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Anumara forbesi,Forbes's Blackbird,600-10000,estimated,Decreasing,inferred
"Rails, Gallinules, Coots",Rallicula forbesi,Forbes's Forest Rail,Unknown,not applicable,Unknown,suspected
Plovers,Charadrius forbesi,Forbes's Plover,6700-67000,estimated,Unknown,not applicable
Swifts,Apus berliozi,Forbes-Watson's Swift,Unknown,not applicable,Stable,suspected
Batises and Wattle-eyes,Batis mixta,Forest Batis,Unknown,,Decreasing,suspected
Herons,Zonerodius heliosylus,Forest Bittern,1500-7000,estimated,Decreasing,suspected
"Hawks, Eagles",Buteo trizonatus,Forest Buzzard,670-6700,suspected,Stable,suspected
Finches,Crithagra scotops,Forest Canary,Unknown,not applicable,Stable,suspected
Sunbirds,Cinnyris fuelleborni,Forest Double-collared Sunbird,Unknown,not applicable,Stable,suspected
Ovenbirds,Upucerthia saturatior,Forest Earthcreeper,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Myiopagis gaimardii,Forest Elaenia,Unknown,not applicable,Stable,suspected
Weavers,Foudia omissa,Forest Fody,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Peliperdix lathami,Forest Francolin,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Microptilotis montanus,Forest Honeyeater,Unknown,not applicable,Stable,suspected
Kingfishers,Todiramphus macleayii,Forest Kingfisher,Unknown,not applicable,Decreasing,suspected
Typical Owls,Athene blewitti,Forest Owlet,250-999,estimated,Decreasing,inferred
Penduline-tits,Anthoscopus flavifrons,Forest Penduline-tit,Unknown,not applicable,Stable,suspected
Crows and jays,Corvus tasmanicus,Forest Raven,Unknown,,Decreasing,suspected
Old World Flycatchers and Chats,Monticola sharpei,Forest Rock-thrush,Unknown,,Decreasing,suspected
Woodhoopoes,Rhinopomastus castaneiceps,Forest Scimitarbill,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Tychaedon leucosticta,Forest Scrub-robin,Unknown,not applicable,Decreasing,suspected
Swallows and martins,Atronanus fuliginosus,Forest Swallow,Unknown,not applicable,Decreasing,suspected
Thrushes,Turdus lherminieri,Forest Thrush,100000-499999,estimated,Unknown,suspected
Pipits and Wagtails,Dendronanthus indicus,Forest Wagtail,Unknown,not applicable,Decreasing,suspected
Drongos,Dicrurus adsimilis,Fork-tailed Drongo,Unknown,,Stable,suspected
Cuckoos,Surniculus dicruroides,Fork-tailed Drongo-cuckoo,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Tyrannus savana,Fork-tailed Flycatcher,Unknown,estimated,Stable,suspected
Swifts,Tachornis squamata,Fork-tailed Palm Swift,Unknown,not applicable,Stable,suspected
Northern Storm-petrels,Hydrobates furcatus,Fork-tailed Storm-petrel,4000000,estimated,Increasing,suspected
Sunbirds,Aethopyga latouchii,Fork-tailed Sunbird,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Hemitriccus furcatus,Fork-tailed Tody-tyrant,2500-9999,estimated,Decreasing,suspected
Hummingbirds,Thalurania furcata,Fork-tailed Woodnymph,Unknown,not applicable,Decreasing,not applicable
Reed-warblers,Acrocephalus musae,Forster's Reed-warbler,0,estimated,,not applicable
"Gulls, Terns, Skimmers",Sterna forsteri,Forster's Tern,Unknown,estimated,Increasing,estimated
Pardalotes,Pardalotus quadragintus,Forty-spotted Pardalote,"1400-11200, 1800",estimated,Decreasing,estimated
Sandgrouse,Pterocles quadricinctus,Four-banded Sandgrouse,Unknown,not applicable,Stable,suspected
"Falcons, Caracaras",Falco alopex,Fox Kestrel,6700-67000,suspected,Stable,suspected
Weavers,Ploceus spekeoides,Fox's Weaver,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Cisticola troglodytes,Foxy Cisticola,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Accipiter francesiae,Frances's Sparrowhawk,Unknown,estimated,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Canachites franklinii,Franklin's Grouse,Unknown,estimated,Stable,estimated
"Gulls, Terns, Skimmers",Larus pipixcan,Franklin's Gull,Unknown,estimated,Increasing,estimated
Typical Owls,Bubo poensis,Fraser's Eagle-owl,Unknown,not applicable,Decreasing,suspected
Sunbirds,Deleornis fraseri,Fraser's Sunbird,Unknown,,Decreasing,suspected
Ovenbirds,Phacellodomus striaticollis,Freckle-breasted Thornbird,Unknown,,Stable,suspected
Woodpeckers,Dendrocopos analis,Freckle-breasted Woodpecker,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Stictonetta naevosa,Freckled Duck,7300-17000,estimated,Stable,suspected
Nightjars,Caprimulgus tristigma,Freckled Nightjar,Unknown,not applicable,Stable,suspected
Larks,Mirafra pulpa,Friedmann's Lark,Unknown,not applicable,Decreasing,suspected
Fantails,Rhipidura albolimbata,Friendly Fantail,Unknown,not applicable,Decreasing,suspected
Grasshopper-warblers and grassbirds,Locustella accentor,Friendly Grasshopper-warbler,Unknown,not applicable,Stable,inferred
Hummingbirds,Lophornis magnificus,Frilled Coquette,Unknown,not applicable,Decreasing,not applicable
Monarch-flycatchers,Arses telescopthalmus,Frilled Monarch,Unknown,not applicable,Stable,suspected
Monarch-flycatchers,Arses lorealis,Frill-necked Monarch,Unknown,not applicable,Decreasing,suspected
Typical Antbirds,Pyriglena atra,Fringe-backed Fire-eye,600-1700,estimated,Decreasing,suspected
Thrushes,Chlamydochaera jefferyi,Fruithunter,Unknown,not applicable,Decreasing,suspected
"Sandpipers, Snipes, Phalaropes",Gallinago stricklandii,Fuegian Snipe,2500-9999,estimated,Decreasing,suspected
New World blackbirds,Icterus fuertesi,Fuertes's Oriole,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Saxicola dacotiae,Fuerteventura Stonechat,"13300-15500,14400",estimated,Decreasing,suspected
Old World Flycatchers and Chats,Niltava davidi,Fujian Niltava,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Pachyptila crassirostris,Fulmar Prion,100000-200000,estimated,Stable,suspected
Laughingthrushes and allies,Argya fulva,Fulvous Babbler,Unknown,not applicable,Stable,suspected
Typical Owls,Strix fulvescens,Fulvous Owl,Unknown,estimated,Decreasing,suspected
Parrotbills and allies,Suthora fulvifrons,Fulvous Parrotbill,Unknown,not applicable,Decreasing,suspected
Tanagers,Lanio fulvus,Fulvous Shrike-tanager,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Dendrocygna bicolor,Fulvous Whistling-duck,Unknown,estimated,Decreasing,suspected
Wrens,Cinnycerthia fulva,Fulvous Wren,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Dendrocopos macei,Fulvous-breasted Woodpecker,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Cyornis olivaceus,Fulvous-chested Jungle-flycatcher,Unknown,not applicable,Decreasing,suspected
Puffbirds,Nonnula sclateri,Fulvous-chinned Nunlet,Unknown,not applicable,Decreasing,suspected
Tanagers,Maschalethraupis surinama,Fulvous-crested Tanager,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Margarornis stellatus,Fulvous-dotted Treerunner,Unknown,not applicable,Decreasing,suspected
New World sparrows,Atlapetes fulviceps,Fulvous-headed Brushfinch,Unknown,not applicable,Decreasing,suspected
Tanagers,Thlypopsis fulviceps,Fulvous-headed Tanager,Unknown,not applicable,Decreasing,suspected
Finches,Euphonia fulvicrissa,Fulvous-vented Euphonia,500000-4999999,estimated,Decreasing,suspected
Old World Flycatchers and Chats,Ficedula disposita,Furtive Flycatcher,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Cnemotriccus fuscatus,Fuscous Flycatcher,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Ptilotula fusca,Fuscous Honeyeater,Unknown,not applicable,Decreasing,inferred
Buttonquails,Turnix hottentottus,Fynbos Buttonquail,22248-88553,estimated,Decreasing,suspected
"Hawks, Eagles",Micronisus gabar,Gabar Goshawk,Unknown,estimated,Stable,suspected
Old World Flycatchers and Chats,Sheppardia gabela,Gabela Akalat,10000-19999,estimated,Decreasing,suspected
Bush-shrikes,Laniarius amboimensis,Gabela Bushshrike,1000-2499,estimated,Decreasing,inferred
Vangas and allies,Prionops gabela,Gabela Helmetshrike,600-1700,estimated,Decreasing,suspected
Batises and Wattle-eyes,Batis minima,Gabon Batis,Unknown,not applicable,Decreasing,suspected
Cuckoos,Centropus anselli,Gabon Coucal,Unknown,not applicable,Stable,suspected
Woodpeckers,Dendropicos gabonensis,Gabon Woodpecker,Unknown,,Stable,suspected
"Ducks, Geese, Swans",Mareca strepera,Gadwall,Unknown,estimated,Increasing,suspected
Cockatoos,Eolophus roseicapilla,Galah,Unknown,not applicable,Increasing,suspected
"Pigeons, Doves",Zenaida galapagoensis,Galapagos Dove,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Myiarchus magnirostris,Galapagos Flycatcher,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Buteo galapagoensis,Galapagos Hawk,270-330,estimated,Stable,suspected
Swallows and martins,Progne modesta,Galapagos Martin,250-999,estimated,Decreasing,inferred
Mockingbirds and thrashers,Mimus parvulus,Galapagos Mockingbird,Unknown,not applicable,Stable,suspected
Penguins,Spheniscus mendiculus,Galapagos Penguin,1200,estimated,Decreasing,estimated
"Petrels, Shearwaters",Pterodroma phaeopygia,Galapagos Petrel,6000-15000,estimated,Decreasing,estimated
"Rails, Gallinules, Coots",Laterallus spilonota,Galapagos Rail,3300-6700,estimated,Decreasing,estimated
"Petrels, Shearwaters",Puffinus subalaris,Galapagos Shearwater,35000,inferred,Decreasing,suspected
Old World Flycatchers and Chats,Muscicapa gambagae,Gambaga Flycatcher,Unknown,not applicable,Stable,suspected
New World quails,Callipepla gambelii,Gambel's Quail,5800000,inferred,Stable,inferred
Cockatoos,Callocephalon fimbriatum,Gang-gang Cockatoo,"17600-35200, 25300",estimated,Decreasing,inferred
Leaf-warblers,Phylloscopus kansuensis,Gansu Leaf-warbler,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Chlorostilbon assimilis,Garden Emerald,50000-499999,suspected,Stable,suspected
Old World Warblers,Sylvia borin,Garden Warbler,29000000-48600000,estimated,Decreasing,suspected
"Ducks, Geese, Swans",Spatula querquedula,Garganey,Unknown,estimated,Decreasing,suspected
Parrots,Pyrrhura parvifrons,Garlepp's Parakeet,Unknown,not applicable,Decreasing,suspected
Pittas,Erythropitta granatina,Garnet Pitta,Unknown,not applicable,Decreasing,suspected
Australasian robins,Eugerygone rubra,Garnet Robin,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Lamprolaima rhami,Garnet-throated Hummingbird,20000-49999,suspected,Stable,suspected
Cuckooshrikes,Edolisoma meyerii,Geelvink Cicadabird,Unknown,not applicable,Unknown,not applicable
"Pigeons, Doves",Ptilinopus speciosus,Geelvink Fruit-dove,Unknown,not applicable,Stable,suspected
"Pigeons, Doves",Ducula geelvinkiana,Geelvink Imperial-pigeon,Unknown,not applicable,Stable,suspected
Parrots,Micropsitta geelvinkiana,Geelvink Pygmy-parrot,Unknown,not applicable,Stable,suspected
Tanagers,Geospiza propinqua,Genovesa Cactus-finch,250-999,suspected,Stable,suspected
Tanagers,Geospiza acutirostris,Genovesa Ground-finch,250-999,suspected,Stable,suspected
Penguins,Pygoscelis papua,Gentoo Penguin,774000,estimated,Stable,suspected
Thrushes,Zoothera heinrichi,Geomalia,Unknown,not applicable,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Polyplectron germaini,Germain's Peacock-Pheasant,"5400-27000, 7500-15000",estimated,Decreasing,inferred
Antpittas,Grallaria gigantea,Giant Antpitta,600-1700,estimated,Decreasing,suspected
Typical Antbirds,Batara cinerea,Giant Antshrike,Unknown,not applicable,Decreasing,inferred
Laughingthrushes and allies,Pterorhinus waddelli,Giant Babax,80000-140000,estimated,Unknown,not applicable
Tanagers,Conirostrum binghami,Giant Conebill,Unknown,not applicable,Decreasing,suspected
"Rails, Gallinules, Coots",Fulica gigantea,Giant Coot,6700-67000,estimated,Stable,suspected
Cuckoos,Coua gigas,Giant Coua,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Molothrus oryzivorus,Giant Cowbird,5000000-49999999,estimated,Decreasing,suspected
Shrikes,Lanius giganteus,Giant Grey Shrike,Unknown,not applicable,Stable,suspected
Honeyeaters,Gymnomyza brunneirostris,Giant Honeyeater,50000-99999,estimated,Decreasing,suspected
Hummingbirds,Patagona gigas,Giant Hummingbird,Unknown,not applicable,Stable,suspected
"Ibises, Spoonbills",Thaumatibis gigantea,Giant Ibis,194,estimated,Decreasing,inferred
Tyrant-flycatchers,Tyrannus cubensis,Giant Kingbird,250-999,estimated,Decreasing,inferred
Kingfishers,Megaceryle maxima,Giant Kingfisher,Unknown,not applicable,Decreasing,suspected
Laughingthrushes and allies,Ianthocincla maxima,Giant Laughingthrush,Unknown,not applicable,Decreasing,suspected
Nuthatches,Sitta magna,Giant Nuthatch,1000-2499,estimated,Decreasing,inferred
Pittas,Hydrornis caeruleus,Giant Pitta,Unknown,not applicable,Decreasing,suspected
Typical Owls,Otus gurneyi,Giant Scops-owl,2500-9999,estimated,Decreasing,suspected
"Sandpipers, Snipes, Phalaropes",Gallinago undulata,Giant Snipe,8500,estimated,Decreasing,suspected
Sunbirds,Dreptes thomensis,Giant Sunbird,250-999,estimated,Decreasing,suspected
Weavers,Ploceus grandis,Giant Weaver,2500-9999,suspected,Decreasing,suspected
White-eyes and Yuhinas,Megazosterops palauensis,Giant White-eye,9200-9300,unknown,Decreasing,suspected
"Rails, Gallinules, Coots",Aramides ypecaha,Giant Wood-rail,66700-667000,estimated,Stable,suspected
Wrens,Campylorhynchus chiapensis,Giant Wren,20000-49999,suspected,Increasing,suspected
Honeyeaters,Ashbyia lovensis,Gibberbird,Unknown,not applicable,Increasing,suspected
Woodpeckers,Melanerpes uropygialis,Gila Woodpecker,Unknown,estimated,Stable,estimated
Honeyeaters,Melithreptus chloropsis,Gilbert's Honeyeater,Unknown,not applicable,Stable,suspected
Whistlers,Pachycephala inornata,Gilbert's Whistler,Unknown,not applicable,Decreasing,suspected
New World Barbets,Capito auratus,Gilded Barbet,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Colaptes chrysoides,Gilded Flicker,Unknown,estimated,Decreasing,estimated
Hummingbirds,Hylocharis chrysura,Gilded Hummingbird,Unknown,not applicable,Increasing,suspected
Larks,Calendulauda gilletti,Gillett's Lark,Unknown,,Stable,observed
Tanagers,Tangara cyanoventris,Gilt-edged Tanager,Unknown,not applicable,Decreasing,suspected
White-eyes and Yuhinas,Zosterops luteirostris,Gizo White-eye,"250-999, 500-750",estimated,Stable,suspected
Tanagers,Chionodacryon speculiferum,Glacier Finch,Unknown,not applicable,Stable,suspected
"Gulls, Terns, Skimmers",Larus hyperboreus,Glaucous Gull,Unknown,estimated,Stable,suspected
Parrots,Anodorhynchus glaucus,Glaucous Macaw,0-20,estimated,Unknown,
Tanagers,Tangara glaucocolpa,Glaucous Tanager,Unknown,not applicable,Stable,suspected
Cardinals,Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus glaucescens,Glaucous-winged Gull,Unknown,estimated,Increasing,suspected
Tanagers,Chlorochrysa phoenicotis,Glistening-green Tanager,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Coeligena orina,Glittering Starfrontlet,250-2499,estimated,Decreasing,inferred
Hummingbirds,Chlorostilbon lucidus,Glittering-bellied Emerald,Unknown,not applicable,Unknown,not applicable
Hummingbirds,Chionomesa fimbriata,Glittering-throated Emerald,Unknown,not applicable,Decreasing,not applicable
Typical Antbirds,Sakesphorus luctuosus,Glossy Antshrike,Unknown,not applicable,Decreasing,suspected
Cockatoos,Calyptorhynchus lathami,Glossy Black-cockatoo,7000-14000,suspected,Decreasing,inferred
Tanagers,Diglossa lafresnayii,Glossy Flowerpiercer,Unknown,not applicable,Stable,suspected
"Ibises, Spoonbills",Plegadis falcinellus,Glossy Ibis,Unknown,estimated,Decreasing,suspected
Swifts,Collocalia esculenta,Glossy Swiftlet,Unknown,not applicable,Stable,suspected
Tityras and allies,Pachyramphus surinamus,Glossy-backed Becard,Unknown,not applicable,Decreasing,suspected
Thrushes,Turdus serranus,Glossy-black Thrush,Unknown,not applicable,Decreasing,suspected
Birds-of-paradise,Manucodia ater,Glossy-mantled Manucode,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Eriocnemis vestita,Glowing Puffleg,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Selasphorus ardens,Glow-throated Hummingbird,2000-12000,estimated,Decreasing,inferred
Old World Buntings,Emberiza godlewskii,Godlewski's Bunting,Unknown,not applicable,Stable,suspected
Typical Antbirds,Akletos goeldii,Goeldi's Antbird,Unknown,not applicable,Decreasing,suspected
Parrots,Pyrrhura pfrimeri,Goias Parakeet,"12000-20000, 16000",estimated,Decreasing,estimated
Weavers,Malimbus ballmanni,Gola Malimbe,2500-9999,suspected,Decreasing,inferred
Kinglets and firecrests,Regulus regulus,Goldcrest,98000000-164999999,estimated,Decreasing,suspected
Scimitar-babblers and allies,Cyanoderma chrysaeum,Golden Babbler,Unknown,not applicable,Decreasing,suspected
Bowerbirds,Prionodura newtoniana,Golden Bowerbird,"16000-77000,34000",estimated,Decreasing,inferred
Old World Flycatchers and Chats,Tarsiger chrysaeus,Golden Bush-robin,Unknown,not applicable,Stable,suspected
Cuckooshrikes,Campochaera sloetii,Golden Cuckooshrike,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Chrysoena luteovirens,Golden Dove,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Aquila chrysaetos,Golden Eagle,85000-160000,inferred,Stable,inferred
Bulbuls,Calyptocichla serinus,Golden Greenbul,Unknown,not applicable,Stable,suspected
Vireos,Pachysylvia hypochrysea,Golden Greenlet,50000-499999,suspected,Decreasing,suspected
Cardinals,Pheucticus chrysogaster,Golden Grosbeak,Unknown,not applicable,Stable,suspected
Barn-owls,Tyto aurantia,Golden Masked-owl,2500-9999,estimated,Decreasing,estimated
Monarch-flycatchers,Carterornis chrysomela,Golden Monarch,Unknown,not applicable,Decreasing,suspected
Starlings,Mino anais,Golden Myna,Unknown,not applicable,Decreasing,suspected
